Bandori/ARGONAVIS Character Information (Accurate as of November 2020),,,,,,,,,,,,,,,,,,,,
"Note that Bandori ages are estimated based on Middle School 1st Year (Shu Ujigawa from Epsilon Phi) = 12 years old.",,,,,,,,,,,,,,,,,,,,
"-1 to age if the character's birthday is between January-March, since the Japanese school year starts in April.",,,,,,,,,,,,,,,,,,,,
All information from Bandori/ARGONAVIS Wikia pages.,,,,,,,,,,,,,,,,,,,,
Franchise,Name,Band,Instrument,Gender,Birthday,School/Organisation,Level,Year,Class/Faculty/Job,Height (cm),Zodiac,Image Colour,Age (Years),Weight (kg),Epithet,Hair Colour,Eye Colour,,Class (BanG Dream Year 1),Others
BanG Dream! Girls Band Party,Kasumi Toyama,Poppin'Party,Vocals/Guitar,Female,14-Jul,Hanasakigawa Girls' High School,High School,2,2-A,156,Cancer,#FF5522,16,Unknown,Starry Charisma,Brown,Purple,,1-A,
BanG Dream! Girls Band Party,Tae Hanozono,Poppin'Party,Guitar,Female,04-Dec,Hanasakigawa Girls' High School,High School,2,2-E,164,Sagittarius,#0077DD,16,Unknown,Chasing Rabbits in the Garden,Black,Green,,1-A,
BanG Dream! Girls Band Party,Rimi Ushigome,Poppin'Party,Bass,Female,23-Mar,Hanasakigawa Girls' High School,High School,2,2-B,150,Aries,#FF55BB,15,Unknown,Cornet at First Sight,Black,Brown,,1-A,
BanG Dream! Girls Band Party,Arisa Ichigaya,Poppin'Party,Keyboard,Female,27-Oct,Hanasakigawa Girls' High School,High School,2,2-A,152,Scorpio,#AA66DD,16,Unknown,Sweet and Spicy Personality,Blond,Brown,,1-B,
BanG Dream! Girls Band Party,Saya Yamabuki,Poppin'Party,Drums,Female,19-May,Hanasakigawa Girls' High School,High School,2,2-B,157,Taurus,#FFCC11,16,Unknown,Fermentation Girl,Brown,Blue,,1-A,
BanG Dream! Girls Band Party,Ran Mitake,Afterglow,Vocals/Guitar,Female,10-Apr,Haneoka Girls' High School,High School,2,2-A,157,Aries,#EE0022,16,Unknown,Defiant Red Mesh,Black/Red,Pink,,1-A,
BanG Dream! Girls Band Party,Moca Aoba,Afterglow,Guitar,Female,03-Sep,Haneoka Girls' High School,High School,2,2-A,158,Virgo,#00CCAA,16,Unknown,Go My Way,Grey,Blue,,1-B,
BanG Dream! Girls Band Party,Himari Uehara,Afterglow,Bass,Female,23-Oct,Haneoka Girls' High School,High School,2,2-A,155,Scorpio,#FF9999,16,Unknown,Rally Misfire,Pink,Green,,1-B,
BanG Dream! Girls Band Party,Tsugumi Hazawa,Afterglow,Keyboard,Female,07-Jan,Haneoka Girls' High School,High School,2,2-A,156,Capricorn,#FFEE88,15,Unknown,Great Ordinary,Brown,Brown,,1-B,
BanG Dream! Girls Band Party,Tomoe Udagawa,Afterglow,Drums,Female,15-Apr,Haneoka Girls' High School,High School,2,2-A,168,Aries,#BB0033,16,Unknown,Ramen Broth Caring Sister,Red,Blue,,1-B,
BanG Dream! Girls Band Party,Aya Maruyama,Pastel*Palettes,Vocals,Female,27-Dec,Hanasakigawa Girls' High School,High School,3,3-B,156,Capricorn,#FF88BB,17,Unknown,Bouncy Ego Search,Pink,Pink,,2-B,
BanG Dream! Girls Band Party,Hina Hikawa,Pastel*Palettes,Guitar,Female,20-Mar,Haneoka Girls' High School,High School,3,3-B,156,Pisces,#55DDEE,16,Unknown,Genius Next Door,Green,Green,,2-A,
BanG Dream! Girls Band Party,Chisato Shirasagi,Pastel*Palettes,Bass,Female,06-Apr,Hanasakigawa Girls' High School,High School,3,3-A,152,Aries,#FFEEAA,17,Unknown,Smiling Iron Mask,Blond,Pink,,2-A,
BanG Dream! Girls Band Party,Eve Wakamiya,Pastel*Palettes,Keyboard,Female,27-Jun,Hanasakigawa Girls' High School,High School,2,2-E,163,Cancer,#DDBBFF,16,Unknown,Samurai from Europe,White,Blue,,1-A,
BanG Dream! Girls Band Party,Maya Yamato,Pastel*Palettes,Drums,Female,03-Nov,Haneoka Girls' High School,High School,3,3-B,161,Scorpio,#99DD88,17,Unknown,Out-of-control Machine Nerd,Brown,Green,,2-B,
BanG Dream! Girls Band Party,Yukina Minato,Roselia,Vocals,Female,26-Oct,Haneoka Girls' High School,High School,3,3-A,155,Scorpio,#881188,17,Unknown,Blooming Rose of Purple Flames,Grey,Gold,,2-B,
BanG Dream! Girls Band Party,Sayo Hikawa,Roselia,Guitar,Female,20-Mar,Hanasakigawa Girls' High School,High School,3,3-A,161,Pisces,#00AABB,16,Unknown,Sadness Metronome,Green,Green,,2-B,
BanG Dream! Girls Band Party,Lisa Imai,Roselia,Bass,Female,25-Aug,Haneoka Girls' High School,High School,3,3-A,158,Virgo,#DD2200,17,Unknown,Goddess of Kindness,Brown,Green,,2-A,
BanG Dream! Girls Band Party,Rinko Shirokane,Roselia,Keyboard,Female,17-Oct,Hanasakigawa Girls' High School,High School,3,3-A,157,Libra,#BBBBBB,17,Unknown,Unmovable Master,Black,Purple,,2-B,
BanG Dream! Girls Band Party,Ako Udagawa,Roselia,Drums,Female,03-Jul,Haneoka Girls' High School,High School,1,1-A,148,Cancer,#DD0088,15,Unknown,Blackish Fallen Angel Something Something,Purple,Red,,3-B ,Was in Haneoka Girls' Junior High School in Bandori Year One)
BanG Dream! Girls Band Party,Kokoro Tsurumaki,"Hello, Happy World!",Vocals,Female,08-Aug,Hanasakigawa Girls' High School,High School,2,2-B,155,Leo,#FFEE22,16,Unknown,Endless Waves of Smiles,Blond,Gold,,1-C,
BanG Dream! Girls Band Party,Kaoru Seta,"Hello, Happy World!",Guitar,Female,28-Feb,Haneoka Girls' High School,High School,3,3-C,170,Pisces,#AA33CC,16,Unknown,Nonsensical One-man Show,Purple,Red,,2-A,
BanG Dream! Girls Band Party,Hagumi Kitazawa,"Hello, Happy World!",Bass,Female,20-Jul,Hanasakigawa Girls' High School,High School,2,2-E,152,Leo,#FF9922,16,Unknown,Kitazawa Mark is the Mark of Vitality,Orange,Orange,,1-A,
BanG Dream! Girls Band Party,Misaki Okusawa/Michelle,"Hello, Happy World!",DJ,Female,01-Oct,Hanasakigawa Girls' High School,High School,2,2-A,157,Libra,#006599,16,Unknown,One with Common Sense in a Bear,Black,Blue,,1-C,Michelle Colour: #DD33CC
BanG Dream! Girls Band Party,Kanon Matsubara,"Hello, Happy World!",Drums,Female,11-May,Hanasakigawa Girls' High School,High School,2,3-A,156,Taurus,#44DDFF,17,Unknown,Labyrinth of Jellyfishes,Blue,Purple,,2-A,
